Ticker,Total_Score,Momentum_Score,Grading,Peak_Mark,Cum_Buy_%,Price,Buy_1h_%,Buy_6h_%,Buy_1d_%,Buy_3d_%,Short_Term,Medium_Term,Long_Term,Avg_Vol,Peak_Price
AIRR,68.38,64.97,71.46,66.57,49.24,127.97,56.99,48.15,48.23,51.49,57.45,100.0,54.51,486133,133.5
HDV,65.51,55.87,74.85,57.34,50.56,27.49,46.45,51.07,54.37,55.55,59.88,94.71,69.14,2617900,28.0
AKRE,64.58,61.26,60.16,100.0,50.49,54.83,52.42,46.57,47.31,40.11,72.2,50.0,57.95,682100,68.18
AMLP,63.67,61.06,64.94,67.75,45.44,52.77,32.26,46.96,51.1,60.89,43.98,87.8,62.72,1428766,55.22
DPST,60.05,51.16,59.17,100.0,56.87,116.26,50.92,58.46,58.07,55.61,82.59,79.56,8.06,489366,145.46
AVEM,59.76,50.13,64.44,74.9,45.34,91.23,45.75,44.61,43.37,51.44,43.32,100.0,47.6,2061133,97.29
BHDG,59.1,68.47,50.63,63.95,56.88,25.74,56.88,56.88,56.88,56.88,75.0,50.0,22.95,153400,26.67
ACWX,57.98,47.97,64.7,64.45,45.05,73.92,38.16,46.92,46.78,44.73,50.28,89.98,52.04,1382566,76.69
AGQI,57.96,64.11,52.57,60.28,64.31,17.8,64.31,64.31,64.31,64.31,32.07,87.52,35.7,2900,18.27
ASMH,57.35,50.46,64.92,47.08,62.8,112.65,62.8,62.8,62.8,62.8,60.07,100.0,29.66,1400,111.83
VPU,55.61,48.68,57.03,76.21,49.24,192.36,41.12,52.58,52.33,51.36,56.43,56.99,57.78,263333,205.85
DRAM,55.32,47.42,53.91,93.97,45.89,55.79,51.64,46.7,44.75,41.8,54.35,50.0,57.95,51141900,62.68
ARMG,54.77,44.23,67.58,32.87,45.9,39.69,46.63,43.63,38.87,43.8,88.18,100.0,5.73,2513233,38.06
ASHR,54.65,53.22,52.16,72.82,58.2,34.88,61.81,55.46,55.38,59.05,40.47,92.81,18.37,3200600,36.99
AIA,54.58,37.83,63.35,77.76,64.26,133.17,74.82,61.96,60.48,46.96,46.34,100.0,40.45,553166,143.1
VO,54.55,38.75,67.7,52.03,48.89,78.53,47.05,50.68,49.23,45.35,73.34,72.97,54.96,2211800,78.93
VOE,54.08,22.92,79.6,51.12,47.07,195.39,46.8,48.02,50.25,43.01,78.86,93.59,64.14,305433,195.94
ARKX,53.78,47.7,53.41,80.0,48.21,34.04,59.13,44.76,43.44,44.74,44.11,97.64,12.67,1643233,36.8
AMDL,53.74,37.95,57.11,100.0,47.36,56.12,46.41,47.62,43.45,50.25,49.1,100.0,16.43,6160266,68.65
AMJB,53.62,54.94,49.4,69.4,55.76,35.21,44.77,58.51,58.51,58.51,15.01,94.11,37.35,27233,37.01
DRLL,53.55,45.77,51.52,94.8,52.45,36.43,43.11,54.79,54.79,54.79,25.14,100.0,25.73,9400,41.03
